experiment_id,timestamp,ode_name,stiffness,solver,rtol,atol,step_size,net_preset,num_params,device,nfe,total_runtime_ms,tf_mean_ms,net_eval_ms,solver_overhead_ms,solver_overhead_ratio,peak_mem_mb,trajectory_mse,status,observation
EXP2-WORKLOAD-A,2026-09-07 09:55:06,Synthetic-Small,high-nfe-regime,dopri5 (tight tol),,,adaptive,"small (dim=2, hidden=16)",354,cpu,62,13.596,0.12637,7.835,5.761,0.4237,0.0,N/A,SUCCESS,"Workload A: High NFE, Small State/Net"
EXP2-WORKLOAD-B,2026-09-07 09:55:06,Synthetic-Large,low-nfe-regime,rk4 (coarse step),,,adaptive,"large (dim=10, hidden=128)",68746,cpu,40,15.566,0.17705,7.082,8.484,0.545,0.0,N/A,SUCCESS,"Workload B: Low NFE, Large State/Net"
